abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"L-LACD2cm","L-Lactate dehydrogenase, cytosolic/mitochondrial","(2) ficytc[m] + lac-L[c] --> (2) focytc[m] + pyr[c]","Pyruvate Metabolism","1.1.2.3","( Cyb2-m (YML054C)  and Cyc7-m (YEL039C)  ) or ( Cyb2-m (YML054C)  and Cyc1-m (YJR048W)  )","( ( YML054C  and  YEL039C )  or  ( YML054C  and  YJR048W ) )","( Cyb2-m and Cyc7-m ) or ( Cyb2-m and Cyc1-m )"
"L-LACt2r","L-lactate reversible transport via proton symport","h[e] + lac-L[e] <==> h[c] + lac-L[c]","Transport, Extracellular","","Jen1 (YKL217W) ","YKL217W","Jen1"
"L-LACtm","L-lactate transport, mitochondrial","h[c] + lac-L[c] <==> h[m] + lac-L[m]","Transport, Mitochondrial","","","",""
"LALDO3","L-Lactaldehyde:NADP+ 1-oxidoreductase","[c] : h + mthgxl + nadph --> lald-L + nadp","Alternate Carbon Metabolism","1.1.1.21","( Gre2 (YOL151W)  ) or ( Gre3 (YHR104W)  )","( YOL151W  or  YHR104W )","( Gre2 ) or ( Gre3 )"
"LANOSTAT_SC","Acyl-CoA:lanosterol acyltransferase, yeast-specific","[c] : (0.655) hdcoa + (0.01) hexccoa + (0.01) lanost + (0.27) odecoa + (0.02) pmtcoa + (0.03) stcoa + (0.015) tdcoa --> coa + (0.01) lanostest_SC","Sterol Metabolism","","Are1 (YCR048W) ","YCR048W","Are1"
"LANOSTESTH_SC","lanosterol ester hydrolase, yeast-specific","[c] : h2o + (0.01) lanostest_SC --> h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.01) lanost + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","( Tgl1 (YKL140W)  ) or ( Yeh1 (YLL012W)  )","( YKL140W  or  YLL012W )","( Tgl1 ) or ( Yeh1 )"
"LANOSTESTH_SCe","lanosterol ester hydrolase, yeast-specific (extracellular)","[e] : h2o + (0.01) lanostest_SC --> h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.01) lanost + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","Yeh2-e (YLR020C) ","YLR020C","Yeh2-e"
"LANOSTt","lanosterol reversible transport","lanost[e] <==> lanost[c]","Transport, Extracellular","","( Aus1 (YOR011W)  ) or ( Pdr11 (YIL013C)  )","( YOR011W  or  YIL013C )","( Aus1 ) or ( Pdr11 )"
"LCADi","lactaldehyde dehydrogenase","[c] : h2o + lald-L + nad --> (2) h + lac-L + nadh","Alternate Carbon Metabolism","1.2.1.21","","",""
"LCYSTintv","L-cystine transport via proton symport (vacuolar)","Lcystin[v] + h[v] --> Lcystin[c] + h[c]","Transport, Vacuolar","","Ers1-v (YCR075C) ","YCR075C","Ers1-v"
"LEUTA","leucine transaminase","[c] : akg + leu-L <==> 4mop + glu-L","Valine, Leucine, and Isoleucine Metabolism","2.6.1.6","Bat2 (YJR148W) ","YJR148W","Bat2"
"LEUTAm","leucine transaminase, mitochondrial","[m] : akg + leu-L <==> 4mop + glu-L","Valine, Leucine, and Isoleucine Metabolism","2.6.1.6","Bat1-m (YHR208W) ","YHR208W","Bat1-m"
"LEUTRS","Leucyl-tRNA synthetase","[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi","tRNA charging","6.1.1.4","Cdc60 (YPL160W) ","YPL160W","Cdc60"
"LEUTRSm","leucyl-tRNA synthetase, mitochondrial","[m] : atp + leu-L + trnaleu --> amp + leutrna + ppi","tRNA charging","6.1.1.4","Nam2-m (YLR382C) ","YLR382C","Nam2-m"
"LEUt2r","L-leucine reversible transport via proton symport","h[e] + leu-L[e] <==> h[c] + leu-L[c]","Transport, Extracellular","","( Tat1 (YBR069C)  ) or ( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Bap2 (YBR068C)  ) or ( Bap3 (YDR046C)  ) or ( Gnp1 (YDR508C)  )","( YBR069C  or  YKR039W  or  YCL025C  or  YBR068C  or  YDR046C  or  YDR508C )","( Tat1 ) or ( Gap1 ) or ( Agp1 ) or ( Bap2 ) or ( Bap3 ) or ( Gnp1 )"
"LEUt6","L-leucine transport in via proton antiport (vacuolar)","h[v] + leu-L[c] --> h[c] + leu-L[v]","Transport, Vacuolar","","Avt1-v (YJR001W) ","YJR001W","Avt1-v"
"LEUt7","L-leucine transport out via proton symport, vacuolar","h[v] + leu-L[v] --> h[c] + leu-L[c]","Transport, Vacuolar","","( Avt4-v (YNL101W)  ) or ( Avt3-v (YKL146W)  )","( YNL101W  or  YKL146W )","( Avt4-v ) or ( Avt3-v )"
"LGTHL","lactoylglutathione lyase","[c] : gthrd + mthgxl --> lgt-S","Alternate Carbon Metabolism","4.4.1.5","Glo1.1 (YML004C) ","YML004C","Glo1.1"
"LNS14DM","cytochrome P450 lanosterol 14-alpha-demethylase (NADP)","[c] : (2) h + lanost + (3) nadph + (3) o2 --> 44mctr + for + (4) h2o + (3) nadp","Sterol Metabolism","1.14.14.1","( Erg11 (YHR007C)  and Ncp1 (YHR042W)  )","( YHR007C  and  YHR042W )","( Erg11 and Ncp1 )"
"LNS14DMx","cytochrome P450 lanosterol 14-alpha-demethylase (NAD)","[c] : (2) h + lanost + (3) nadh + (3) o2 --> 44mctr + for + (4) h2o + (3) nad","Sterol Metabolism","1.14.14.1","( Cyb5 (YNL111C)  and Erg11 (YHR007C)  and Mcr1-m (YKL150W)  ) or ( Cbr1 (YIL043C)  and Cyb5 (YNL111C)  and Erg11 (YHR007C)  )","( ( YNL111C  and  YHR007C  and  YKL150W )  or  ( YIL043C  and  YNL111C  and  YHR007C ) )","( Cyb5 and Erg11 and Mcr1-m ) or ( Cbr1 and Cyb5 and Erg11 )"
"LNSTLS","lanosterol synthase","[c] : Ssq23epx --> lanost","Sterol Metabolism","5.4.99.7","Erg7 (YHR072W) ","YHR072W","Erg7"
"LPCAT_SC","Lyso-phosphatidylcholine acyltransferase acyltransferase, yeast-specific","[c] : (0.01) 1agpc_SC + (0.02) dcacoa + (0.06) ddcacoa + (0.17) hdcoa + (0.09) ocdycacoa + (0.24) odecoa + (0.27) pmtcoa + (0.05) stcoa + (0.1) tdcoa --> coa + (0.01) pc_SC","Phospholipid Biosynthesis","2.3.1.23","Taz1 (YPR140W) ","YPR140W","Taz1"
"LPP_SC","lipid phosphate phosphatase, yeast-specific","[c] : (0.01) dagpy_SC + h2o --> h + (0.01) pa_SC + pi","Phospholipid Biosynthesis","","( Dpp1 (YDR284C)  ) or ( Lpp1 (YDR503C)  )","( YDR284C  or  YDR503C )","( Dpp1 ) or ( Lpp1 )"
"LSERDHr","L-serine dehydrogenase","[c] : nadp + ser-L <==> 2amsa + h + nadph","Glycine and Serine Metabolism","","YdfG (YMR226C) ","YMR226C","YdfG"
"LYSTRS","Lysyl-tRNA synthetase","[c] : atp + lys-L + trnalys --> amp + lystrna + ppi","tRNA charging","6.1.1.6","Krs1 (YDR037W) ","YDR037W","Krs1"
"LYSTRSm","Lysyl-tRNA synthetase, mitochondrial","[m] : atp + lys-L + trnalys --> amp + lystrna + ppi","tRNA charging","6.1.1.6","Msk1-m (YNL073W) ","YNL073W","Msk1-m"
"LYSt2m","Lysine mitochondrial transport via proton symport","h[c] + lys-L[c] <==> h[m] + lys-L[m]","Transport, Mitochondrial","","","",""
"LYSt2r","L-lysine reversible transport via proton symport","h[e] + lys-L[e] <==> h[c] + lys-L[c]","Transport, Extracellular","","( Lyp1 (YNL268W)  ) or ( Gap1 (YKR039W)  )","( YNL268W  or  YKR039W )","( Lyp1 ) or ( Gap1 )"
"LYSt6","L-lysine transport in via proton antiport (vacuolar)","h[v] + lys-L[c] --> h[c] + lys-L[v]","Transport, Vacuolar","","( Vba2-v (YBR293W)  ) or ( Vba3-v (YCL069W)  ) or ( Vba1-v (YMR088C)  )","( YBR293W  or  YCL069W  or  YMR088C )","( Vba2-v ) or ( Vba3-v ) or ( Vba1-v )"
"MACACI","maleylacetoacetate isomerase","[c] : 4mlacac --> 4fumacac","Tyrosine, Tryptophan, and Phenylalanine Metabolism","5.2.1.2","","",""
"MALOAAtp","malate/oxaloacetate shuttle","mal-L[x] + oaa[c] <==> mal-L[c] + oaa[x]","Transport, Peroxisomal","","","",""
"MALS","malate synthase","[c] : accoa + glx + h2o --> coa + h + mal-L","Anaplerotic Reactions","4.1.3.2","( Dal7 (YIR031C)  ) or ( Mls1 (YNL117W)  )","( YIR031C  or  YNL117W )","( Dal7 ) or ( Mls1 )"
"MALSp","malate synthase","[x] : accoa + glx + h2o --> coa + h + mal-L","Anaplerotic reactions","4.1.3.2","( Dal7-p (YIR031C)  ) or ( Mls1-p (YNL117W)  )","( YIR031C  or  YNL117W )","( Dal7-p ) or ( Mls1-p )"
"MALT","alpha-glucosidase","[c] : h2o + malt --> (2) glc-D","Galactose metabolism","3.2.1.20","( Mal32 (YBR299W)  ) or ( Mal12 (YGR292W)  ) or ( Fsp2 (YJL221C)  ) or ( Mal33 (YGR287C)  ) or ( Mal13 (YIL172C)  ) or ( Mal14 (YJL216C)  )","( YBR299W  or  YGR292W  or  YJL221C  or  YGR287C  or  YIL172C  or  YJL216C )","( Mal32 ) or ( Mal12 ) or ( Fsp2 ) or ( Mal33 ) or ( Mal13 ) or ( Mal14 )"
"MALTt2","maltose transport in via proton symport","h[e] + malt[e] --> h[c] + malt[c]","Transport, Extracellular","","( Mal11 (YGR289C)  ) or ( Mal31 (YBR298C)  ) or ( Mph2 (YDL247W)  ) or ( Mph3 (YJR160C)  )","( YGR289C  or  YBR298C  or  YDL247W  or  YJR160C )","( Mal11 ) or ( Mal31 ) or ( Mph2 ) or ( Mph3 )"
"MALt2r","L-malate reversible transport via proton symport","h[e] + mal-L[e] <==> h[c] + mal-L[c]","Transport, Extracellular","","","",""
"MALtm","malate transport, mitochondrial","mal-L[c] + pi[m] <==> mal-L[m] + pi[c]","Transport, Mitochondrial","","Dic1-m (YLR348C) ","YLR348C","Dic1-m"
"MAN1PT","mannose-1-phosphate guanylyltransferase","[c] : gtp + h + man1p --> gdpmann + ppi","Fructose and Mannose Metabolism","2.7.7.13","Psa1 (YDL055C) ","YDL055C","Psa1"
"MAN6PI","mannose-6-phosphate isomerase","[c] : man6p <==> f6p","Fructose and Mannose Metabolism","5.3.1.8","Pmi40 (YER003C) ","YER003C","Pmi40"
"MANNANter","mannan endoplasmic reticulum transport via diffusion","mannan[c] <==> mannan[r]","Transport, Endoplasmic Reticular","","","",""
"MANt2","D-mannose transport in via proton symport","h[e] + man[e] --> h[c] + man[c]","Transport, Extracellular","","( Hxt1 (YHR094C)  ) or ( Hxt10 (YFL011W)  ) or ( Hxt11 (YOL156W)  ) or ( Hxt13 (YEL069C)  ) or ( Hxt15 (YDL245C)  ) or ( Hxt16 (YJR158W)  ) or ( Hxt17 (YNR072W)  ) or ( Hxt2 (YMR011W)  ) or ( Hxt3 (YDR345C)  ) or ( Hxt4 (YHR092C)  ) or ( Hxt5 (YHR096C)  ) or ( Hxt6 (YDR343C)  ) or ( Hxt7 (YDR342C)  ) or ( Hxt8 (YJL214W)  ) or ( Hxt9 (YJL219W)  )","( YHR094C  or  YFL011W  or  YOL156W  or  YEL069C  or  YDL245C  or  YJR158W  or  YNR072W  or  YMR011W  or  YDR345C  or  YHR092C  or  YHR096C  or  YDR343C  or  YDR342C  or  YJL214W  or  YJL219W )","( Hxt1 ) or ( Hxt10 ) or ( Hxt11 ) or ( Hxt13 ) or ( Hxt15 ) or ( Hxt16 ) or ( Hxt17 ) or ( Hxt2 ) or ( Hxt3 ) or ( Hxt4 ) or ( Hxt5 ) or ( Hxt6 ) or ( Hxt7 ) or ( Hxt8 ) or ( Hxt9 )"
"MCITDm","2-methylcitrate dehydratase, mitochondrial","[m] : hcit <==> b124tc + h2o","Threonine and Lysine Metabolism","4.2.1.79","","",""
"MCITL2m","methylisocitrate lyase","[m] : micit --> pyr + succ","Anaplerotic reactions","4.1.3.30","Icl2-m (YPR006C) ","YPR006C","Icl2-m"
"MCITSm","2-methylcitrate synthase","[m] : h2o + oaa + ppcoa --> 2mcit + coa + h","Anaplerotic reactions","4.1.3.31","Cit3-m (YPR001W) ","YPR001W","Cit3-m"
"MCOATA","Malonyl-CoA-ACP transacylase","[c] : ACP + malcoa <==> coa + malACP","Fatty Acid  Biosynthesis","2.3.1.39","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"MCOATAm","Malonyl-CoA-ACP transacylase, mitochondrial","[m] : ACP + malcoa <==> coa + malACP","Fatty Acid  Biosynthesis","2.3.1.39","( Acp1-m (YKL192C)  and Cem1-m (YER061C)  and Htd2-m (YHR067W)  and Mct1-m (YOR221C)  and Mrf1-m (YBR026C)  and Oar1-m (YKL055C)  )","( YKL192C  and  YER061C  and  YHR067W  and  YOR221C  and  YBR026C  and  YKL055C )","( Acp1-m and Cem1-m and Htd2-m and Mct1-m and Mrf1-m and Oar1-m )"
"MDH","malate dehydrogenase","[c] : mal-L + nad <==> h + nadh + oaa","Oxidative Phosphorylation","1.1.1.37","Mdh2 (YOL126C) ","YOL126C","Mdh2"
"MDHm","malate dehydrogenase, mitochondrial","[m] : mal-L + nad <==> h + nadh + oaa","Oxidative Phosphorylation","1.1.1.37","Mdh1-m (YKL085W) ","YKL085W","Mdh1-m"
"MDHp","malate dehydrogenase, peroxisomal","[x] : mal-L + nad <==> h + nadh + oaa","Oxidative Phosphorylation","1.1.1.37","Mdh3-p (YDL078C) ","YDL078C","Mdh3-p"
"MDRPD","5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase","[c] : 5mdru1p --> dkmpp + h2o","Methionine Metabolism","","","",""
"ME1m","malic enzyme (NAD), mitochondrial","[m] : mal-L + nad --> co2 + nadh + pyr","Anaplerotic reactions","1.1.1.38","Mae1-m (YKL029C) ","YKL029C","Mae1-m"
"ME2m","malic enzyme (NADP), mitochondrial","[m] : mal-L + nadp --> co2 + nadph + pyr","Anaplerotic reactions","1.1.1.40","Mae1-m (YKL029C) ","YKL029C","Mae1-m"
"MELIBt2","melibiose transport in via symport","h[e] + melib[e] --> h[c] + melib[c]","Transport, Extracellular","","","",""
"MELTGH","Melibiitol galactohydrolase","[c] : h2o + melt <==> gal + sbt-D","Galactose metabolism","3.2.1.22","Mel1 (YBR184W) ","YBR184W","Mel1"
"METAT","methionine adenosyltransferase","[c] : atp + h2o + met-L --> amet + pi + ppi","Methionine Metabolism","2.5.1.6","( Sam2 (YDR502C)  ) or ( Sam1 (YLR180W)  )","( YDR502C  or  YLR180W )","( Sam2 ) or ( Sam1 )"
"METB1","metb1","[c] : achms + cys-L --> ac + cyst-L + h","Methionine Metabolism","","Str2 (YJR130C) ","YJR130C","Str2"
"METS","methionine synthase","[c] : 5mthf + hcys-L --> h + met-L + thf","Methionine Metabolism","2.1.1.13","Met6 (YER091C) ","YER091C","Met6"
"METTRS","Methionyl-tRNA synthetase","[c] : atp + met-L + trnamet --> amp + mettrna + ppi","tRNA charging","6.1.1.10","Mes1 (YGR264C) ","YGR264C","Mes1"
"METTRSm","methionyl-tRNA synthetase, mitochondrial","[m] : atp + met-L + trnamet --> amp + mettrna + ppi","tRNA charging","6.1.1.10","Msm1-m (YGR171C) ","YGR171C","Msm1-m"
"METt2m","methionine mitochondrial transport via proton symport","h[m] + met-L[m] <==> h[c] + met-L[c]","Transport, Mitochondrial","","","",""
"METt2r","L-methionine reversible transport via proton symport","h[e] + met-L[e] <==> h[c] + met-L[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Gnp1 (YDR508C)  ) or ( Bap2 (YBR068C)  ) or ( Bap3 (YDR046C)  ) or ( Mup1 (YGR055W)  ) or ( Mup3 (YHL036W)  )","( YKR039W  or  YCL025C  or  YDR508C  or  YBR068C  or  YDR046C  or  YGR055W  or  YHL036W )","( Gap1 ) or ( Agp1 ) or ( Gnp1 ) or ( Bap2 ) or ( Bap3 ) or ( Mup1 ) or ( Mup3 )"
"MEVK1","mevalonate kinase (atp)","[c] : atp + mev-R --> 5pmev + adp + h","Sterol Metabolism","2.7.1.36","Erg12 (YMR208W) ","YMR208W","Erg12"
"MEVK2","mevalonate kinase (ctp)","[c] : ctp + mev-R --> 5pmev + cdp + h","Sterol Metabolism","2.7.1.36","Erg12 (YMR208W) ","YMR208W","Erg12"
"MEVK3","mevalonate kinase (gtp)","[c] : gtp + mev-R --> 5pmev + gdp + h","Sterol Metabolism","2.7.1.36","Erg12 (YMR208W) ","YMR208W","Erg12"
"MEVK4","mevalonate kinase (utp)","[c] : mev-R + utp --> 5pmev + h + udp","Sterol Metabolism","2.7.1.36","Erg12 (YMR208W) ","YMR208W","Erg12"
"MFAPS_SC","methylene-fatty-acyl-phospholipid synthase, yeast-specific","[c] : amet + (0.01) ptdmeeta_SC --> ahcys + h + (0.01) ptd2meeta_SC","Phospholipid Biosynthesis","2.1.1.16","Opi3 (YJR073C) ","YJR073C","Opi3"
"MGSA","methylglyoxal synthase","[c] : dhap --> mthgxl + pi","Alternate Carbon Metabolism","4.2.3.3","","",""
"MHPGLUT","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase","[c] : hcys-L + mhpglu --> hpglu + met-L","Methionine Metabolism","2.1.1.14","Met6 (YER091C) ","YER091C","Met6"
"MI13456PKn","inositol-1,3,4,5,6-pentakisphosphate 2-kinase, nuclear","[n] : atp + mi13456p --> adp + h + minohp","Phospholipid Biosynthesis","","Ipk1-n (YDR315C) ","YDR315C","Ipk1-n"
"MI1345PKn","inositol-1,3,4,5-triphosphate 6-kinase, nucleus","[n] : atp + mi1345p --> adp + h + mi13456p","Phospholipid Biosynthesis","","Arg82-n (YDR173C) ","YDR173C","Arg82-n"
"MI1456PKn","inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus","[n] : atp + mi1456p --> adp + h + mi13456p","Phospholipid Biosynthesis","2.7.1.151","Arg82-n (YDR173C) ","YDR173C","Arg82-n"
"MI145P6Kn","inositol-1,4,5-triphosphate 6-kinase, nucleus","[n] : atp + mi145p --> adp + h + mi1456p","Phospholipid Biosynthesis","2.7.1.151","Arg82-n (YDR173C) ","YDR173C","Arg82-n"
"MI145PKn","inositol-1,4,5-trisphosphate 3-kinase, nucleus","[n] : atp + mi145p --> adp + h + mi1345p","Phospholipid Biosynthesis","2.7.1.127","Arg82-n (YDR173C) ","YDR173C","Arg82-n"
"MI145Ptn","1D-myo-Inositol 1,4,5-trisphosphate nuclear transport via diffusion","mi145p[c] <==> mi145p[n]","Transport, Nuclear","","","",""
"MI1PP","myo-inositol 1-phosphatase","[c] : h2o + mi1p-D --> inost + pi","Phospholipid Biosynthesis","3.1.3.25","Inm1 (YHR046C) ","YHR046C","Inm1"
"MI1PS","myo-Inositol-1-phosphate synthase","[c] : g6p --> mi1p-D","Phospholipid Biosynthesis","5.5.1.4","Ino1 (YJL153C) ","YJL153C","Ino1"
"MINOHPtn","inositol hexakisphosphate nuclear transport (diffusion)","minohp[c] <==> minohp[n]","Transport, Nuclear","","","",""
"MIP2C124PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-1 (24C) phospholipase C","[c] : h2o + (0.01) mip2c124_SC --> cer1_24 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2C126PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-1 (26C) phospholipase C","[c] : h2o + (0.01) mip2c126_SC --> cer1_26 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2C224PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-2 (24C) phospholipase C","[c] : h2o + (0.01) mip2c224_SC --> cer2_24 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2C226PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-2 (26C) phospholipase C","[c] : h2o + (0.01) mip2c226_SC --> cer2_26 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2C324PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-3 (24C) phospholipase C","[c] : h2o + (0.01) mip2c324_SC --> cer3_24 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2C326PLC_SC","Mannose-(inositol-P)2-ceramide, ceramide-3 (26C) phospholipase C","[c] : h2o + (0.01) mip2c326_SC --> cer3_26 + h + man2mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIP2CS124_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-1, 24C), yeast-specific","[c] : (0.01) mipc124_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c124_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIP2CS126_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-1, 26C), yeast-specific","[c] : (0.01) mipc126_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c126_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIP2CS224_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-2, 26C), yeast specific","[c] : (0.01) mipc224_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c224_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIP2CS226_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-2, 24C), yeast-specific","[c] : (0.01) mipc226_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c226_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIP2CS324_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-3, 24C), yeast specific","[c] : (0.01) mipc324_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c324_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIP2CS326_SC","mannose-(inositol-P)2-ceramide synthase (ceramide-3, 26C), yeast-specific","[c] : (0.01) mipc326_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c326_SC","Sphingolipid Metabolism","","Ipt1 (YDR072C) ","YDR072C","Ipt1"
"MIPC124PLC_SC","Mannose-inositol phosphorylceramide, ceramide-1 (24C) phospholipase C","[c] : h2o + (0.01) mipc124_SC --> cer1_24 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPC126PLC_SC","Mannose-inositol phosphorylceramide, ceramide-1 (26C) phospholipase C","[c] : h2o + (0.01) mipc126_SC --> cer1_26 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPC224PLC_SC","Mannose-inositol phosphorylceramide, ceramide-2 (24C) phospholipase C","[c] : h2o + (0.01) mipc224_SC --> cer2_24 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPC226PLC_SC","Mannose-inositol phosphorylceramide, ceramide-2 (26C) phospholipase C","[c] : h2o + (0.01) mipc226_SC --> cer2_26 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPC324PLC_SC","Mannose-inositol phosphorylceramide, ceramide-3 (24C) phospholipase C","[c] : h2o + (0.01) mipc324_SC --> cer3_24 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPC326PLC_SC","Mannose-inositol phosphorylceramide, ceramide-3 (26C) phospholipase C","[c] : h2o + (0.01) mipc326_SC --> cer3_26 + h + manmi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"MIPCS124_SC","mannose-inositiol phophorylceramide synthase (ceramide-1, 24C), yeast-specific","[c] : gdpmann + (0.01) ipc124_SC --> gdp + h + (0.01) mipc124_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MIPCS126_SC","mannose-inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific","[c] : gdpmann + (0.01) ipc126_SC --> gdp + h + (0.01) mipc126_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MIPCS224_SC","mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific","[c] : gdpmann + (0.01) ipc224_SC --> gdp + h + (0.01) mipc224_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MIPCS226_SC","mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific","[c] : gdpmann + (0.01) ipc226_SC --> gdp + h + (0.01) mipc226_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MIPCS324_SC","mannose-inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific","[c] : gdpmann + (0.01) ipc324_SC --> gdp + h + (0.01) mipc324_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MIPCS326_SC","mannose-inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific","[c] : gdpmann + (0.01) ipc326_SC --> gdp + h + (0.01) mipc326_SC","Sphingolipid Metabolism","","( Mipcs1 ( YBR036C and YPL057C )  ) or ( Mipcs2 ( YBR036C and YBR161W )  )","( ( YBR036C  and  YPL057C )  or  ( YBR036C  and  YBR161W ) )","( Mipcs1 ) or ( Mipcs2 )"
"MMETt2","S-methylmethionine permease","h[e] + mmet[e] --> h[c] + mmet[c]","Transport, Extracellular","","Mmp1 (YLL061W) ","YLL061W","Mmp1"
