FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
FIG030922: Ubiquinone/menaquinone biosynthesis methyltransferase UbiE/ COQ5 (EC 2.1.1.-)	peg.2564			
FIGfam135315: Iojap-related protein	peg.2565	Iojap|NAD_and_NADP_cofactor_biosynthesis_global|tRNA_modification_Bacteria	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
"Hydrolase (HAD superfamily), YqeK"	peg.2566	NAD_and_NADP_cofactor_biosynthesis_global	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	peg.2567	Iojap|NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00105|rxn02155
FIG004454: RNA binding protein	peg.2568			
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	peg.2569	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	rxn01740
"GTP-binding protein YqeH, possibly involved in replication initiation"	peg.2570	Universal_GTPases	Protein Metabolism	
"FIG001553: Hydrolase, HAD subfamily IIIA"	peg.2571			
N-acetylmuramoyl-L-alanine amidase cwlH precursor (EC 3.5.1.28)	peg.2573			rxn02875
"Uncharacterized protein yqeC, similar to 6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	peg.2575			
nuclease	peg.2577			
RNA polymerase sporulation specific sigma factor SigK	peg.2578|peg.2641	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
required for the chromosomal rearrangement that creates the sigK gene by excision of the skin element between spoIVCB and spoIIIC genes (stage IV sporulation)	peg.2579			
Arsenate reductase (EC 1.20.4.1)	peg.2580|peg.3286	Anaerobic_respiratory_reductases|Arsenic_resistance	Respiration|Virulence	rxn08171
Arsenical-resistance protein ACR3	peg.2581	Arsenic_resistance	Virulence	rxn05507|rxn05506
glyoxalase family protein	peg.2582			
regulator of the activity of phosphatase RapE	peg.2586			
alternate gene name: yqdF	peg.2590			
alternate gene name: yqdE	peg.2591			
cell wall hydrolase (minor autolysin)	peg.2592			
Probable holin	peg.2593			
Phage-like element PBSX protein xepA	peg.2594			
Phage-like element PBSX protein xkdV	peg.2597			
Phage-like element PBSX protein xkdU	peg.2599			
Phage-like element PBSX protein xkdT	peg.2600			
Phage-like element PBSX protein xkdS	peg.2601			
Phage-like element PBSX protein xkdR	peg.2602			
Phage-like element PBSX protein xkdQ	peg.2603			
Phage-like element PBSX protein xkdP	peg.2604			
Tail protein	peg.2605			
Phage-like element PBSX protein xkdN	peg.2606			
alternate gene name: yqcR	peg.2607			
Phage-like element PBSX protein xkdM	peg.2608			
Phage-like element PBSX protein xkdK	peg.2609|peg.2610			
Phage-like element PBSX protein xkdJ	peg.2611			
Phage-like element PBSX protein xkdI	peg.2612			
Phage-like element PBSX protein xkdH	peg.2613			
Phage-like element PBSX protein xkdG	peg.2616			
Phage-like element PBSX protein xkdF	peg.2617			
Phage-like element PBSX protein xkdE	peg.2620			
Terminase large subunit	peg.2621			
some similarities to phage-related terminase small subunit homolog yqaS	peg.2622			
DNA replication protein dnaC	peg.2628	DNA-replication	DNA Metabolism	
Recombinational DNA repair protein RecT (prophage associated)	peg.2630	"DNA_repair,_bacterial|Listeria_phi-A118-like_prophages"	DNA Metabolism|Virulence	
alternate gene name: yqcS	peg.2635			
Repressor (cro-like) [Bacteriophage A118]	peg.2636	Listeria_phi-A118-like_prophages	Virulence	
Putative HTH-type transcriptional regulator yqaE	peg.2637			
Phage-like element PBSX protein xkdA	peg.2640			
PsiE protein homolog	peg.2643			
sensory transduction protein kinase	peg.2644			
Glutathione-regulated potassium-efflux system ancillary protein KefF	peg.2649			
Molybdopterin biosynthesis MoeB protein	peg.2652			
rhodanese domain protein	peg.2655			
Mannose-6-phosphate isomerase	peg.2658			
regulation of the bltD operon	peg.2660			
spermine/spermidine acetyltransferase	peg.2662			rxn09264|rxn09949
potassium uptake	peg.2666			rxn05595
Cobalt-zinc-cadmium resistance protein CzcD	peg.2667	Cobalt-zinc-cadmium_resistance	Virulence	rxn05315|rxn05517
negative regulation of the glutamate synthase operon (gltAB)	peg.2669			
Branched-chain amino acid transport system carrier protein	peg.2671|peg.2963			rxn05244|rxn05669|rxn05243
branched-chain amino acid transport	peg.2672|peg.2673			rxn05244|rxn05669|rxn05243
negative regulation of the azlBCD operon	peg.2674			
Barstar-like protein ribonuclease (barnase) inhibitor	peg.2675			
isochorismatase family protein	peg.2678			
DinB family protein	peg.2680			
Aminoglycoside 6-adenylyltransferase (EC 2.7.7.-)	peg.2681			rxn00418
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9) homolog	peg.2682			rxn05323|rxn05448|rxn05441|rxn05328|rxn05445|rxn05446|rxn05435|rxn05326|rxn05437|rxn05324|rxn05464|rxn05322|rxn05439|rxn05443|rxn05434|rxn05442|rxn05436|rxn05447|rxn05438|rxn05327|rxn05450|rxn05440|rxn05444|rxn05433|rxn05325|rxn05449
Glutamate racemase (EC 5.1.1.3)	peg.2683|peg.2842	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis|Poly-gamma-glutamate_biosynthesis"	Amino Acids and Derivatives	rxn00193
Candidate zinc-binding lipoprotein ZinT	peg.2685			
RNA polymerase sigma factor SigZ	peg.2686	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
Citrate transporter	peg.2688			rxn05211
Regulatory protein CysB	peg.2689			
FldA protein	peg.2690			
Chitosanase precursor (EC 3.2.1.132)	peg.2691			
Membrane proteins related to metalloendopeptidases	peg.2694|peg.2695			
Spore coat protein F	peg.2698|peg.2700|peg.2701	Bsub-Spore-Coat	Cell Wall and Capsule	
alcohol dehydrogenase	peg.2699			
Levanase (EC 3.2.1.65)	peg.2706	Sucrose_Metabolism	Carbohydrates	
"PTS system, fructose-specific IID component (EC 2.7.1.69)"	peg.2707			rxn05560
"NtrC family Transcriptional regulator, ATPase domain"	peg.2711			
RNA polymerase sigma factor SigV	peg.2715	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
anti-sigma factor homolog yrhM	peg.2716			
Acyltransferase	peg.2717			
YRHH	peg.2721			
Formate efflux transporter (TC 2.A.44 family)	peg.2723	Fermentations:_Mixed_acid	Carbohydrates	rxn05559
Cystathionine gamma-lyase (EC 4.4.1.1)	peg.2728	Cysteine_Biosynthesis|Glycine_and_Serine_Utilization|Methionine_Biosynthesis|Methionine_Degradation	Amino Acids and Derivatives	rxn00742
Cystathionine beta-synthase (EC 4.2.1.22)	peg.2729	Cysteine_Biosynthesis|Glycine_and_Serine_Utilization|Methionine_Biosynthesis|Methionine_Degradation	Amino Acids and Derivatives	rxn00953
5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	peg.2730	Menaquinone_Biosynthesis_via_Futalosine|Methionine_Salvage|Polyamine_Metabolism	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Amino Acids and Derivatives"	rxn00143|rxn01021
S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	peg.2730	Methionine_Biosynthesis|Methionine_Degradation	Amino Acids and Derivatives	rxn00143|rxn01021
SAM-dependent methlytransferase YrrT	peg.2731	Methionine_Biosynthesis	Amino Acids and Derivatives	
low affinity penicillin binding protein	peg.2734			
Transcription elongation factor GreA	peg.2735	Transcription_factors_bacterial	RNA Metabolism	
Uridine kinase (EC 2.7.1.48) [C1]	peg.2736	pyrimidine_conversions	Nucleosides and Nucleotides	rxn01674|rxn00369|rxn01370|rxn01706|rxn00715|rxn00712|rxn01128|rxn01679|rxn01129|rxn01516|rxn00709|rxn00368|rxn00365|rxn01705|rxn01515|rxn00713|rxn00707|rxn01510
"peptidase, U32 family large subunit [C1]"	peg.2737			
"peptidase, U32 family small subunit [C1]"	peg.2738			
O-methyltransferase family protein [C1]	peg.2739			
COG1559 protein YceG like	peg.2740	tRNA_modification_Bacteria	RNA Metabolism	
Ortholog of S. aureus MRSA252 (BX571856) SAR1694	peg.2741			
Putative Holliday junction resolvase (EC 3.1.-.-)	peg.2742			
Alanyl-tRNA synthetase (EC 6.1.1.7)	peg.2743	tRNA_aminoacylation	Protein Metabolism	rxn05296
UPF0118 membrane protein YrrI	peg.2744|peg.3183			
Glutamine transport ATP-binding protein glnQ (TC 3.A.1.3.2)	peg.2745	ABC_transporter_glutamine_(TC_3.A.1.3.2)	Membrane Transport	rxn05155
"Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2)"	peg.2746	ABC_transporter_glutamine_(TC_3.A.1.3.2)	Membrane Transport	rxn05155
Glutamine transport system permease protein glnP (TC 3.A.1.3.2)	peg.2747|peg.2748	ABC_transporter_glutamine_(TC_3.A.1.3.2)	Membrane Transport	rxn05155
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	peg.2750	DNA-replication	DNA Metabolism	
Tetratricopeptide repeat (TPR) family protein	peg.2751			
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	peg.2752	mnm5U34_biosynthesis_bacteria|tRNA_modification_Bacteria|tRNA_modification_yeast_mitochondrial	RNA Metabolism	rxn05295
Iron-sulfur cluster regulator IscR	peg.2755	Fe-S_cluster_assembly|Rrf2_family_transcriptional_regulators	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
ATPase related to helicase subunit of the Holliday junction resolvase	peg.2756			
Putative activating enzyme (E1) of a ubiquitin-like protein	peg.2757			
Aspartyl-tRNA synthetase (EC 6.1.1.12)	peg.2758	Asp-tRNA(Asn)_transamidation|tRNA_aminoacylation	Protein Metabolism	rxn05296
Histidyl-tRNA synthetase (EC 6.1.1.21)	peg.2759	Histidine_Biosynthesis|tRNA_aminoacylation	Amino Acids and Derivatives|Protein Metabolism	rxn05296
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-)	peg.2762	D-tyrosyl-tRNA(Tyr)_deacylase	Stress Response	
"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I"	peg.2763			rxn00303
Adenine phosphoribosyltransferase (EC 2.4.2.7)	peg.2764	Purine_conversions	Nucleosides and Nucleotides	rxn00139
Single-stranded-DNA-specific exonuclease recJ (EC 3.1.-.-)	peg.2765	"DNA-replication|DNA_Repair_Base_Excision|DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
TrkA C-terminal domain protein	peg.2767			
Protein-export membrane protein secD (TC 3.A.5.1.1)	peg.2768	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
Protein-export membrane protein secF (TC 3.A.5.1.1)	peg.2768	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
Preprotein translocase subunit YajC (TC 3.A.5.1.1)	peg.2773	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)	Protein Metabolism	
tRNA-guanine transglycosylase (EC 2.4.2.29)	peg.2774	Queuosine-Archaeosine_Biosynthesis|tRNA_modification_Bacteria	RNA Metabolism	
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	peg.2775	Queuosine-Archaeosine_Biosynthesis|tRNA_modification_Bacteria	RNA Metabolism	
Holliday junction DNA helicase RuvB	peg.2776	DNA-replication	DNA Metabolism	
Holliday junction DNA helicase RuvA	peg.2777	DNA-replication	DNA Metabolism	
forespore regulator of the sigma-K checkpoint	peg.2778			
alpha-ketoglutarate permease	peg.2779			rxn05493
ABC transporter permease protein yrbE	peg.2780			
Toluene tolerance protein	peg.2780			
sodium/alanine symporter family protein	peg.2784			rxn05215
Sporulation cortex protein coxA	peg.2786			
YRBA protein	peg.2787			
Quinolinate synthetase (EC 4.1.99.-)	peg.2788	Cobalt-zinc-cadmium_resistance|NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation|Quinolinic_acid_and_its_derivatives|YgfZ	"Virulence|Cofactors, Vitamins, Prosthetic Groups, Pigments|Secondary Metabolism"	rxn02988
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	peg.2789	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02402
L-aspartate oxidase (EC 1.4.3.16)	peg.2790	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00338
Probable cysteine desulfurase (EC 2.8.1.7) (NifS protein homolog)	peg.2791			
Transcriptional repressor for NAD biosynthesis in gram-positives	peg.2792	NAD_regulation	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Prephenate dehydratase (EC 4.2.1.51)	peg.2793	Chorismate_Synthesis|Phenylalanine_and_Tyrosine_Branches_from_Chorismate|Phenylalanine_synthesis	Amino Acids and Derivatives	rxn01000
Chorismate mutase (EC 5.4.99.5)	peg.2794	Chorismate_Synthesis|Phenylalanine_synthesis	Amino Acids and Derivatives	rxn01256
COG0536: GTP-binding protein Obg	peg.2795	Iojap|Universal_GTPases	Protein Metabolism	
Sporulation initiation phosphotransferase B (Spo0B)	peg.2796			
LSU ribosomal protein L27p	peg.2797	Iojap|Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
"putative ribosomal protein, YsxB-like"	peg.2798			
LSU ribosomal protein L21p	peg.2799	Iojap|Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
Stage IV sporulation pro-sigma-K processing enzyme (SpoIVFB)	peg.2800			
Stage IV sporulation protein FA (SpoIVFA)	peg.2801			
Septum site-determining protein MinD	peg.2802	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Septum site-determining protein MinC	peg.2803	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Rod shape-determining protein MreD	peg.2804	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Rod shape-determining protein MreC	peg.2805	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Rod shape-determining protein MreB	peg.2806	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
DNA repair protein RadC	peg.2807	"DNA_repair,_bacterial"	DNA Metabolism	
Septum formation protein Maf	peg.2808	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Stage II sporulation protein B	peg.2809			
"Late competence protein ComC, processing protease"	peg.2810	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43)	peg.2810	Type_IV_pilus	Virulence	
N-methyltransferase (EC 2.1.1.-)	peg.2810	Type_IV_pilus	Virulence	
Dihydrofolate synthase (EC 6.3.2.12)	peg.2811	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00689|rxn01603|rxn01210
Folylpolyglutamate synthase (EC 6.3.2.17)	peg.2811	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00689|rxn01603|rxn01210
Valyl-tRNA synthetase (EC 6.1.1.9)	peg.2812	tRNA_aminoacylation	Protein Metabolism	rxn05296
Stage VI sporulation protein D	peg.2814	Bsub-Spore-Coat	Cell Wall and Capsule	
Porphobilinogen synthase (EC 4.2.1.24)	peg.2816	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00029
Porphobilinogen deaminase (EC 2.5.1.61)	peg.2818	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00060
"HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase"	peg.2819	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Glutamyl-tRNA reductase (EC 1.2.1.70)	peg.2820	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn06591
GTP-binding protein EngB	peg.2822	Universal_GTPases	Protein Metabolism	
ATP-dependent protease La (EC 3.4.21.53) Type I	peg.2823	"Proteasome_bacterial|Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
ATP-dependent protease La (EC 3.4.21.53) LonB Type I	peg.2824	Proteasome_bacterial	Protein Metabolism	
ATP-dependent Clp protease ATP-binding subunit ClpX	peg.2825	"Proteasome_bacterial|Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
Cell division trigger factor (EC 5.2.1.8)	peg.2826	Bacterial_Cell_Division	Cell Division and Cell Cycle	
TPR repeat protein	peg.2827			
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	peg.2828	Branched-Chain_Amino_Acid_Biosynthesis|Leucine_Biosynthesis	Amino Acids and Derivatives	rxn02789|rxn02811
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	peg.2829	Branched-Chain_Amino_Acid_Biosynthesis|Leucine_Biosynthesis	Amino Acids and Derivatives	rxn02789|rxn02811
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	peg.2830	Branched-Chain_Amino_Acid_Biosynthesis|Leucine_Biosynthesis	Amino Acids and Derivatives	rxn03062
2-isopropylmalate synthase (EC 2.3.3.13)	peg.2831	Branched-Chain_Amino_Acid_Biosynthesis|Leucine_Biosynthesis	Amino Acids and Derivatives	rxn00902
Ketol-acid reductoisomerase (EC 1.1.1.86)	peg.2832	Branched-Chain_Amino_Acid_Biosynthesis|Coenzyme_A_Biosynthesis	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn08764|rxn03436|rxn03068|rxn02186|rxn03435
Acetolactate synthase small subunit (EC 2.2.1.6)	peg.2833	"Acetoin,_butanediol_metabolism|Branched-Chain_Amino_Acid_Biosynthesis"	Carbohydrates|Amino Acids and Derivatives	rxn00011|rxn02185|rxn03194
Acetolactate synthase large subunit (EC 2.2.1.6)	peg.2834	"Acetoin,_butanediol_metabolism|Branched-Chain_Amino_Acid_Biosynthesis"	Carbohydrates|Amino Acids and Derivatives	rxn00011|rxn02185|rxn03194
VPS29-like phosphoesterase-related protein ynbC	peg.2838			
"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)"	peg.2839	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn09012|rxn00513|rxn09011
Ribonuclease PH (EC 2.7.7.56)	peg.2840	tRNA_processing	RNA Metabolism	
"germination (cortex hydrolysis) and sporulation (stage II, multiple polar septa)"	peg.2841			
transcriptional regulator	peg.2843|peg.3618|peg.3761			
Major transcriptional regulator of spore coat formation GerE	peg.2844			
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	peg.2846	Serine-glyoxylate_cycle|Succinate_dehydrogenase|TCA_Cycle|YgfZ	"Carbohydrates|Respiration|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00288
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	peg.2847	Serine-glyoxylate_cycle|Succinate_dehydrogenase|TCA_Cycle	Carbohydrates|Respiration	rxn00288
Succinate dehydrogenase cytochrome b558 subunit	peg.2848	Succinate_dehydrogenase	Respiration	rxn00288
aspartokinase II attenuator	peg.2851			
Excinuclease ABC subunit C	peg.2852	"DNA_repair,_UvrABC_system"	DNA Metabolism	
Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)	peg.2854	L-Arabinose_utilization	Carbohydrates	rxn09988
"Electron transfer flavoprotein, alpha subunit"	peg.2855	Acetyl-CoA_fermentation_to_Butyrate	Carbohydrates	
"Electron transfer flavoprotein, beta subunit"	peg.2856	Acetyl-CoA_fermentation_to_Butyrate|Hemin_transport_system	Carbohydrates|Virulence	
"Fatty acid degradation regulator YsiA, TetR family"	peg.2858			
DUF350 domain-containing protein	peg.2860			
Recombination inhibitory protein MutS2	peg.2861	"DNA_repair,_bacterial_MutL-MutS_system"	DNA Metabolism	
DNA polymerase X family	peg.2862			
Possible colicin V production protein	peg.2863			
Z-ring-associated protein	peg.2864			
Ribonuclease HIII (EC 3.1.26.4)	peg.2865	Ribonuclease_H	RNA Metabolism	
Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	peg.2866	tRNA_aminoacylation	Protein Metabolism	rxn05296
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	peg.2867	tRNA_aminoacylation	Protein Metabolism	rxn05296
SpoU rRNA Methylase family protein	peg.2868			
Predicted glycolate dehydrogenase regulator	peg.2870	"Glycolate,_glyoxylate_interconversions"	Carbohydrates	
"Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD"	peg.2871	"Glycolate,_glyoxylate_interconversions|Photorespiration_(oxidative_C2_cycle)"	Carbohydrates	rxn00333
Similar to glycolate dehydrogenase iron-sulfur subunit GlcF	peg.2872	"Glycolate,_glyoxylate_interconversions"	Carbohydrates	rxn00333
